表1 温度对比 (C)   空气温度 T_air(1800)=41.5130

t/s     r/cm      你的结果                   正确结果                  
100     0         28.0000                28.0000               
100     0.5       28.0000                28.0003               
100     1.0       28.0002                28.0038               
100     1.5       28.0026                28.0314               
100     2.0       28.0105                28.1745               

300     0         28.0000                28.0396               
300     0.5       28.0012                28.0618               
300     1.0       28.0132                28.1478               
300     1.5       28.0436                28.3600               
300     2.0       28.0939                28.8314               

600     0         28.0002                28.4445               
600     0.5       28.0201                28.5258               
600     1.0       28.0948                28.7894               
600     1.5       28.2119                29.2934               
600     2.0       28.3595                30.1305               

900     0         28.0024                29.3023               
900     0.5       28.0795                29.4345               
900     1.0       28.2669                29.8461               
900     1.5       28.5070                30.5774               
900     2.0       28.7764                31.6785               

1200    0         28.0113                30.5056               
1200    0.5       28.1922                30.6707               
1200    1.0       28.5304                31.1775               
1200    1.5       28.9139                32.0581               
1200    2.0       29.3166                33.3598               

1500    0         28.0331                31.9433               
1500    0.5       28.3634                32.1325               
1500    1.0       28.8820                32.7063               
1500    1.5       29.4234                33.6781               
1500    2.0       29.9636                35.0417               

1800    0         28.0747                33.5095               
1800    0.5       28.5939                33.7046               
1800    1.0       29.3086                34.2925               
1800    1.5       30.0077                35.2834               
1800    2.0       30.6808                36.6975               

