t/s   r/cm   你的结果     正确结果     差值
100   0      28.0000      28.0000      -0.0000
100   0.5    28.0000      28.0003      -0.0003
100   1.0    28.0000      28.0038      -0.0038
100   1.5    28.0000      28.0314      -0.0314
100   2.0    28.0615      28.1745      -0.1131

600   0      28.0000      28.4445      -0.4445
600   0.5    28.0000      28.5258      -0.5258
600   1.0    28.0000      28.7894      -0.7894
600   1.5    28.0000      29.2934      -1.2934
600   2.0    28.3524      30.1305      -1.7781

1200  0      28.0000      30.5056      -2.5056
1200  0.5    28.0000      30.6707      -2.6707
1200  1.0    28.0000      31.1775      -3.1775
1200  1.5    28.0000      32.0581      -4.0581
1200  2.0    28.7005      33.3598      -4.6594

1800  0      28.0000      33.5095      -5.5095
1800  0.5    28.0000      33.7046      -5.7046
1800  1.0    28.0000      34.2925      -6.2925
1800  1.5    28.0000      35.2834      -7.2834
1800  2.0    29.0012      36.6975      -7.6963

空气温度: T_air(1800)=41.5130
