表3  3小时内药材的温度 (C)
时间/h             0       0.5         1       1.5         2
0.5        32.1505   32.3420   32.9219   33.9102   35.3536
1.0        40.3062   40.4779   40.9843   41.8015   42.9199
1.5        45.7804   45.8691   46.1291   46.5444   47.0843
2.0        48.4099   48.4483   48.5605   48.7385   48.9722
2.5        49.4476   49.4602   49.4958   49.5492   49.6459
3.0        49.8414   49.8473   49.8670   49.9031   49.9599

表4  3小时内药材的水分浓度 (kg/kg)
时间/h             0       0.5         1       1.5         2
0.5         2.5499    2.5487    2.5253    2.3296    1.6589
1.0         2.5255    2.4951    2.3605    2.0297    1.4820
1.5         2.3882    2.3286    2.1396    1.8101    1.3588
2.0         2.1757    2.1139    1.9305    1.6348    1.2423
2.5         1.9633    1.9076    1.7438    1.4812    1.1275
3.0         1.7738    1.7243    1.5786    1.3425    1.0184
